"filename","display_name","section","order","marker","phase","status","notes"
"surya-a/surya-a-01.png","SURYA NAMASKARA A","surya-a","1","01","full","generated","built-in imagegen v1 (salvaged)"
"surya-a/surya-a-02.png","SURYA NAMASKARA A","surya-a","2","02","sample","generated","首批手机端样片"
"surya-a/surya-a-03.png","SURYA NAMASKARA A","surya-a","3","03","full","generated","built-in imagegen v1 (salvaged)"
"surya-a/surya-a-04.png","SURYA NAMASKARA A","surya-a","4","04","full","generated","built-in imagegen v1 (salvaged)"
"surya-a/surya-a-05.png","SURYA NAMASKARA A","surya-a","5","05","sample","generated","首批手机端样片"
"surya-a/surya-a-06.png","SURYA NAMASKARA A","surya-a","6","06","full","generated","built-in imagegen v1 (salvaged)"
"surya-a/surya-a-07.png","SURYA NAMASKARA A","surya-a","7","07","full","generated","built-in imagegen v1 (salvaged)"
"surya-a/surya-a-08.png","SURYA NAMASKARA A","surya-a","8","08","full","generated","built-in imagegen v1 (salvaged)"
"surya-a/surya-a-09.png","SURYA NAMASKARA A","surya-a","9","09","full","generated","built-in imagegen v1 (salvaged)"
"surya-a/surya-a-10.png","SURYA NAMASKARA A","surya-a","10","10","full","generated","built-in imagegen v1 (salvaged)"
"surya-a/surya-a-11.png","SURYA NAMASKARA A","surya-a","11","11","full","generated","built-in imagegen v1 (salvaged)"
"surya-b/surya-b-01.png","SURYA NAMASKARA B","surya-b","1","01","full","generated","built-in imagegen v1 (salvaged)"
"surya-b/surya-b-02.png","SURYA NAMASKARA B","surya-b","2","02","full","generated","built-in imagegen v1 (salvaged)"
"surya-b/surya-b-03.png","SURYA NAMASKARA B","surya-b","3","03","full","generated","built-in imagegen v1 (salvaged)"
"surya-b/surya-b-04.png","SURYA NAMASKARA B","surya-b","4","04","full","generated","built-in imagegen v1 (salvaged)"
"surya-b/surya-b-05.png","SURYA NAMASKARA B","surya-b","5","05","full","generated","built-in imagegen v1 (salvaged)"
"surya-b/surya-b-06.png","SURYA NAMASKARA B","surya-b","6","06","full","generated","built-in imagegen v1 (salvaged)"
"surya-b/surya-b-07.png","SURYA NAMASKARA B","surya-b","7","07","full","generated","built-in imagegen v1 (salvaged)"
"surya-b/surya-b-08.png","SURYA NAMASKARA B","surya-b","8","08","full","generated","built-in imagegen v1"
"surya-b/surya-b-09.png","SURYA NAMASKARA B","surya-b","9","09","full","generated","built-in imagegen v1"
"surya-b/surya-b-10.png","SURYA NAMASKARA B","surya-b","10","10","full","generated","built-in imagegen v1"
"surya-b/surya-b-11.png","SURYA NAMASKARA B","surya-b","11","11","full","generated","built-in imagegen v1"
"surya-b/surya-b-12.png","SURYA NAMASKARA B","surya-b","12","12","full","generated","built-in imagegen v1"
"surya-b/surya-b-13.png","SURYA NAMASKARA B","surya-b","13","13","full","generated","built-in imagegen v1"
"surya-b/surya-b-14.png","SURYA NAMASKARA B","surya-b","14","14","full","generated","built-in imagegen v1"
"surya-b/surya-b-15.png","SURYA NAMASKARA B","surya-b","15","15","full","generated","built-in imagegen v1"
"surya-b/surya-b-16.png","SURYA NAMASKARA B","surya-b","16","16","full","generated","built-in imagegen v1"
"surya-b/surya-b-17.png","SURYA NAMASKARA B","surya-b","17","17","full","generated","built-in imagegen v1"
"surya-b/surya-b-18.png","SURYA NAMASKARA B","surya-b","18","18","full","generated","built-in imagegen v1"
"surya-b/surya-b-19.png","SURYA NAMASKARA B","surya-b","19","19","full","generated","built-in imagegen v1"
"standing/padangusthasana.png","PADANGUSTHASANA","standing","1","","full","generated","built-in imagegen v1"
"standing/padahastasana.png","PADAHASTASANA","standing","2","","full","generated","built-in imagegen v1"
"standing/trikonasana-01.png","TRIKONASANA","standing","3","01","full","generated","built-in imagegen v1"
"standing/trikonasana-02.png","TRIKONASANA","standing","4","02","full","generated","built-in imagegen v1"
"standing/parsvakonasana-01.png","PARSVAKONASANA","standing","5","01","full","generated","built-in imagegen v1"
"standing/parsvakonasana-02.png","PARSVAKONASANA","standing","6","02","full","generated","built-in imagegen v1"
"standing/prasarita-padottanasana-a.png","PRASARITA PADHOTTANASANA","standing","7","A","full","generated","built-in imagegen v1"
"standing/prasarita-padottanasana-b.png","PRASARITA PADHOTTANASANA","standing","8","B","full","generated","built-in imagegen v1"
"standing/prasarita-padottanasana-c.png","PRASARITA PADHOTTANASANA","standing","9","C","sample","generated","首批手机端样片"
"standing/prasarita-padottanasana-d.png","PRASARITA PADHOTTANASANA","standing","10","D","full","generated","built-in imagegen v1 (edited from C)"
"standing/parsvottanasana.png","PARSVOTTANASANA","standing","11","","full","generated","built-in imagegen v1"
"standing/utthita-hasta-padangusthasana-01.png","UTTHITA HASTA PADANGUSTHASANA","standing","12","01","full","generated","built-in imagegen v1"
"standing/utthita-hasta-padangusthasana-02.png","UTTHITA HASTA PADANGUSTHASANA","standing","13","02","full","generated","built-in imagegen v1"
